Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Day-3NextGenSuite,Firefox 114.0,,,2023-06-07 15:50:57,2023-06-07 15:53:24,2m - 26.557s,FAILED
,,,,,,,
Test Cases/practice_TestCases/Day3_01TestCases(nextGen),Firefox 114.0,,,2023-06-07 15:50:58,2023-06-07 15:51:45,47.556s,PASSED
"openBrowser("""")",Firefox 114.0,,,2023-06-07 15:50:58,2023-06-07 15:51:01,2.886s,PASSED
navigateToUrl(next1),Firefox 114.0,,,2023-06-07 15:51:01,2023-06-07 15:51:29,28.141s,PASSED
"setText(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/input__vfb-5""), FirstName)",Firefox 114.0,,,2023-06-07 15:51:29,2023-06-07 15:51:30,0.624s,PASSED
"setText(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/input__vfb-7""), LastName)",Firefox 114.0,,,2023-06-07 15:51:30,2023-06-07 15:51:30,0.495s,PASSED
"click(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/input__vfb-31""))",Firefox 114.0,,,2023-06-07 15:51:30,2023-06-07 15:51:31,0.702s,PASSED
"setText(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/input_Address_vfb-13address""), Address1)",Firefox 114.0,,,2023-06-07 15:51:31,2023-06-07 15:51:31,0.475s,PASSED
"setText(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/input_Street Address_vfb-13address-2""), Address2)",Firefox 114.0,,,2023-06-07 15:51:31,2023-06-07 15:51:32,0.478s,PASSED
"setText(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/input_City_vfb-13state""), State)",Firefox 114.0,,,2023-06-07 15:51:32,2023-06-07 15:51:32,0.671s,PASSED
"setText(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/input_State  Province  Region_vfb-13zip""), City)",Firefox 114.0,,,2023-06-07 15:51:32,2023-06-07 15:51:33,0.680s,PASSED
"click(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/span_Postal  Zip Code_select2-selection sel_e0ab4c""))",Firefox 114.0,,,2023-06-07 15:51:33,2023-06-07 15:51:34,0.690s,PASSED
"setText(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/input_Copyright 2018-2023. All Rights Reser_b02561""), Country)",Firefox 114.0,,,2023-06-07 15:51:34,2023-06-07 15:51:34,0.508s,PASSED
"setText(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/input__vfb-14""), Email)",Firefox 114.0,,,2023-06-07 15:51:34,2023-06-07 15:51:35,0.673s,PASSED
"setText(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/input_Date of Demo_vfb-18""), """")",Firefox 114.0,,,2023-06-07 15:51:35,2023-06-07 15:51:35,0.481s,PASSED
"click(findTestObject(""Object Repository/Day-3PracticeObjectFolder/day-3_01TestObjective/Page_Demo Site  Registration Form  NxtGen A_68ffcd/input_Date of Demo_vfb-18""))",Firefox 114.0,,,2023-06-07 15:51:35,2023-06-07 15:51:36,0.668s,PASSED
